source,target
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",x % tax reduction for 3 yearsto new investments
responsible consumption and production,Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
, Average time taken to & fro the firewood supply point by sex of household head (mins).
, Percentage of the population with primary reliance on non-solid fuels by sex of household head.
, Primary (P7) Completion rate by sex
, S4 Completion rate by sex
, Youth unemployment rate by sex.
,Average household agricultural income by sex of head 
,Increase in Household latrinecoverage (%)
no poverty,"Proportion of population living below the national poverty line, by sex and age"
no poverty,Proportion of population living in households with access to basic services
good heath and well-being,Proportion of population with large household expenditures on health as a share of total household expenditure or income
sustainable cities and communities,"Proportion of urban population living in slums, informal settlements or inadequate housing"
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Rural safe water coverage (%)
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Urban safe water Coverage(%)
partnerships for the goals,Volume of remittances (in United States dollars) as a proportion of total GDP
decent work and economic growth,Annual growth rate of real GDP per capita
decent work and economic growth,Annual growth rate of real GDP per employed person
,Cooperative membership
,CPIA fiscal policy rating (1=low to 6=high)
,CPIA macroeconomic management rating (1=low to 6=high)
no poverty,Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)
,Education attainment
,"Employment · to·
population ratio."
affordable and clean energy,Energy intensity measured in terms of primary energy and GDP
,Exports
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Freight cargo by rail
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",GDP growth rate
,"Goods exports (BoP, current US$)"
,"Goods imports (BoP, current US$)"
,Imports
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in GDP growth rate.
,Increase in Proportion of freightcargo by rail
,Increase in volume of cargotransported by railway (milliontonnes)
,Increase inVolume ofinternational aircargo traffic
,"International air
cargo traffic"
,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
,"Literacy rate, youth female (% of females ages 15-24)"
,Merchandise exports (current US$)
,Merchandise exports by the reporting economy (current US$)
,Merchandise imports (current US$)
,Merchandise imports by the reporting economy (current US$)
,Net foreign assets (current LCU)
,Number of certificate of titles processed
partnerships for the goals,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
,Overall fiscal balance (excl. Grants) as a percentage of GDP
,Overall fiscal balance (incl. Grants) as a percentage of GDP
,Partner Trade share
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Per Capita GDP
,Population change
,Population density
,Population doubling time
,Population Growth rate
sustainable cities and communities,Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically
,Proportion of freight cargo by rail to total freight.
,Proportion of people living in Urban areas (%)
sustainable cities and communities,"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city"
partnerships for the goals,"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics"
reduced inequality,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
,Re-exports
,Re-imports
no poverty,Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP
,The median age of a population
partnerships for the goals,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
,Total Population
,"Total Projected
Population"
,Total trade
,Urban population
,Urbanisation Rate
, Average time taken to the health facility by sex (mins).
, Average waiting time at the health facility by sex (mins).
," Maternal deaths per 100,000 live births (MMR)"
,Adjusted savings: carbon dioxide damage (% of GNI)
good heath and well-being,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group"
,"Adolescent birth
Rate"
zero hunger,"Average income of small-scale food producers, by sex and indigenous status"
"Objective 3:
To enhance
Human
Capital
Development",Births attended by skilled healthpersonnel (%) - UDHS
,"Cause of death, by injury (% of total)"
,Completeness of death registration with cause-of-death information (%)
,Crude Death Rate
good heath and well-being,Death rate due to road traffic injuries
,"Decrease in Maternal MortalityRatio (per 100,000 live births)"
partnerships for the goals,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation
decent work and economic growth,"Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status"
"Objective 3:
To enhance
Human
Capital
Development",Household latrine coverage (%)
,Increase in Proportion ofhouseholds accessing powerfrom national grid
,"Life expectancy at birth, female (years)"
,"Mortality caused by road traffic injury (per 100,000 people)"
,National Identification Coverage
,Number of deaths ages 5-14 years
good heath and well-being,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
,Number of Occupation Permits Issued
,Population in largest city
,Population in the largest city (% of urban population)
good heath and well-being,Proportion of births attended by skilled health personnel
quality education,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
quality education,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex"
peace justice and strong institutions,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age"
,Proportion of households witha TV (%)
no poverty,"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable"
,Ratio of doctors to population by sex and location
,Ratio of nurses to population by sex and location
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",Recovery of surface coveragefor large water bodies in the country
,Sex Ratio at Birth
"Objective 3:
To enhance
Human
Capital
Development","Under Five Mortality Rate (per 1,000live births)"
, Prevalence of stunting in children under 5 years of age by sex
, Prevalence of under-weight children under 5 years of age by sex
, Prevalence of wasting in children under 5 years of age by sex
, Proportion of children aged 5 – 17 years engaged in child labour by sex.
, Proportion of the population (aged 15-19 and 20-24) who were subjected to sexual violence before age 15 by sex.
peace justice and strong institutions,Existence of independent national human rights institutions in compliance with the Paris Principles
peace justice and strong institutions,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
peace justice and strong institutions,"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation"
peace justice and strong institutions,Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
peace justice and strong institutions,Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms
gender equality,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
peace justice and strong institutions,Proportion of young women and men aged 18?29 years who experienced sexual violence by age 18
, Gender parity index in enrolment
, Percentage of the population aged 20-24 who were married or in a union before age 18 (i.e. child marriage) by sex. 
, Percentage of the working age population employed by sex.
, Uganda Gender Development Index. 
, Uganda Gender Gap Index.
,Air traffic volumes
,"Air transport, freight (million ton-km)"
,"Air transport, passengers carried"
,"Air transport, registered carrier departures worldwide"
,Crime rate
,"Crude  Marriage
Rate"
,"Gender Parity
Index"
,"General Marriage
Rate"
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Improved GlobalGender Gap Index
,Increase in Proportion ofpassenger traffic by rail
,Increase in Volume ofinternational air passengertraffic
,"International air
passenger traffic"
life on land,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
,"Passenger air
traffic"
,"Population, female"
,"Population, female (% of total)"
,"Population, male"
,"Population, male (% of total)"
,"Population, total"
gender equality,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
,"Railways, passengers carried (million passenger-km)"
,Singulate Mean Age at Marriage (SMAM)
," Proportion of Medical officers, clinical officers and allied and dental practitioners by sex."
, Average waiting time at the water (safe) supply point by sex of head (mins).
, Gross Primary School enrolment rate by sex
, Gross Secondary School enrolment rate by sex.
, Net Primary School enrolment rate by sex 
, Net Secondary School enrolment rate by sex
, Percentage of schools with separate stances for females and males.
, Proportion of science graduate teachers by sex
, Proportion of the population living within a radius of 5km of a health facility.
, Proportion of women owning agricultural land
gender equality,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
,Access to safe drinking water
,"Access to
safe (hygienic)
sanitation facility"
,Adjusted savings: education expenditure (% of GNI)
,Aquaculture based on arable land
,Aquaculture based on Inland open water
,Aquaculture based on non arable land
,Completion rate
good heath and well-being,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders"
,CPIA equity of public resource use rating (1=low to 6=high)
,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
,Expenditure on primary education (% of government expenditure on education)
,Expenditure on secondary education (% of government expenditure on education)
,Expenditure on tertiary education (% of government expenditure on education)
life on land,Forest area as a proportion of total land area
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",Forest cover (% land area)
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Forest Cover (%Land Area)
,GDP at market prices
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",GDP at Market prices (UGXbns)
"Objective 3:
To enhance
Human
Capital
Development",Households hand washing with soap(%)
,Increase in Net Primaryschool enrolmentrate (%)
,Increase in Net Secondaryschoolcompletion rate(%)
,Increase in P7 completionrate (%)
,Increase in Proportion of pavednational to total national roads(%)
,Increase in Proportion of pavedurban roads to national roads
,Increase in proportion of thepopulation satisfied with healthcare services
,Increase in Rural Access to safewater supply
,Increase in Rural Access tosanitation facilities
,Increase in the total pavednational road network (km)
,Increase in Urban Access tosafe water in Urban areas
,Increase in Urban Access tosanitation facilities
,Increased in paved KCCA roadsto total KCCA roads.
,Land under permanent crops
,Land under permanent pastures
,Land under temporary pastures
"Objective 3:
To enhance
Human
Capital
Development",Net Primaryschool enrolmentrate (%)
"Objective 3:
To enhance
Human
Capital
Development",Net Secondaryschoolcompletion rate(%)
responsible consumption and production,Number of countries implementing sustainable public procurement policies and action plans
no poverty,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
partnerships for the goals,Number of countries with mechanisms in place to enhance policy coherence of sustainable development
no poverty,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
good heath and well-being,Number of people requiring interventions against neglected tropical diseases
"Objective 3:
To enhance
Human
Capital
Development",P7 completionrate (%)
,"Percentage of deliveries per health facility supervised
by a health
Professional"
,Percentage of national roads in fair to good condition
,"Percentage of schools with separate
sanitary facilities for females
and males by residence and region"
,"Percentage of the population residing within
5kms of a health facility"
,"Primary education, teachers"
,"Primary education, teachers (% female)"
peace justice and strong institutions,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)"
no poverty,Proportion of domestically generated resources allocated by the government directly to poverty reduction programmes
good heath and well-being,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis
,Proportion of land area covered by forest
life on land,Proportion of land that is degraded over total land area
,Proportion of National paved roads to the total road network
clean water and sanitation,Proportion of population using safely managed drinking water services
clean water and sanitation,"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water"
"Objective 3:
To enhance
Human
Capital
Development",Proportion of qualified health workersin public health facilities ( %)
,Proportion of the population living within a 5km radius of a health facility
,Proportion of the population owning agricultural land by tenure system.
sustainable cities and communities,"Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities"
clean water and sanitation,Proportion of wastewater safely treated
,"Proportion
of total water resources used"
,Pupil Classroom ratio (PCR)
,Quality of health services delivered
sustainable cities and communities,Ratio of land consumption rate to population growth rate
,Ratio of wood resource converted into charcoal
,Real       household C o n s u m p t i o n Expenditure Per Capita
,"Rice-cum-fish
culture land area"
,"Secondary education, teachers"
,"Secondary education, teachers (% female)"
,Student Classroom ratio(SCR)
,Teachers at tertiary level
,Total aquaculture land area
,Total Arable Land
,Total consumption Expenditure Per Household
,Total Expenditure
,Total natural resources rents (% of GDP)
,Trained teachers in lower secondary education (% of total teachers)
,Trained teachers in preprimary education (% of total teachers)
,Trained teachers in primary education (% of total teachers)
,Trained teachers in secondary education (% of total teachers)
,Trained teachers in upper secondary education (% of total teachers)
,Wetland Area
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",Wetland cover (% of total area)
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Wetland cover (% of total area) Increase in the automationof climate monitoring network
peace justice and strong institutions,"Proportions of positions (by sex, age, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions"
,Time required to enforce a contract (days)
, Proportion of farmers using labour saving technologies by sex.
,Adjusted savings: net national savings (% of GNI)
,Cooperative savings
,CPIA debt policy rating (1=low to 6=high)
,CPIA economic management cluster average (1=low to 6=high)
,Employees by Industrial establishment
,Firms competing against unregistered firms (% of firms)
,Gross domestic savings (% of GDP)
decent work and economic growth,"Level of national compliance of labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status"
,Number of Village Savings and Loan Associations (VSLA)
,Percentage share of total National labour force employed
,"Proportion
of population residing in slums in urban areas."
,Increase in Volume of domesticair passenger traffic
,"Individual
Income tax"
responsible consumption and production,"Material footprint, material footprint per capita, and material footprint per GDP"
decent work and economic growth,"Material footprint, material footprint per capita, and material footprint per GDP"
,New taxpayers registered
,"Number of fatalities per
10000 vehicles"
,Technology Balance of payments
, Ratio of practicing medical officers (doctors) by sex. 
, Ratio of practicing medical officers (doctors) to population
, Ratio of practisingAnesthetical Officers to population
, Ratio of practisingAnesthetical Officers to women
,% -age Increasein value addedexports of: Coffee (%)Cotton (%)Tea (%)Maize (%)Rice (%)Meat (%)Cassava (%)Fish (%)Beans (%)
,Adjusted savings: gross savings (% of GNI)
,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
,"Alien
employment ratio"
partnerships for the goals,Amount of United States dollars committed to public-private and civil society partnerships
,Average household income by household head
,Average precipitation in depth (mm per year)
,Average time to clear exports through customs (days)
,"Average working hours of children, study and work, ages 7-14 (hours per week)"
,"Average working hours of children, working only, ages 7-14 (hours per week)"
,Bribery incidence (% of firms experiencing at least one bribe payment request)
,"Children in employment, female (% of female children ages 7-14)"
,Claims on other sectors of the domestic economy (annual growth as % of broad money)
,Claims on private sector (annual growth as % of broad money)
,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
,"Commitments, IDA (COM, current US$)"
,"Compulsory education, duration (years)"
,Contribution of tourism to total exports
life on land,Coverage by protected areas of important sites for mountain biodiversity
,CPIA property rights and rule-based governance rating (1=low to 6=high)
,Current account balance (% of GDP)
,"Current account balance (BoP, current US$)"
,Debt service as a percentage of exports of goods and services
,"Debt service on external debt, total (TDS, current US$)"
,Debt service to exports (%)
,Diffusion of old innovations index
,Diffusion of recent innovations index
,"Doctorate holders per 1,000 labour force"
partnerships for the goals,Dollar value of all resources made available to strengthen statistical capacity in developing countries
,"Domestic arrears repayments as
a percentage of total budget"
,"Employment by
Sector"
,Energy use (kg of oil equivalent per capita)
,Exchange rates used for tax purposes
,Excise duty
decent work and economic growth,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
,Exports as a capacity to import (constant LCU)
,"Exports of goods, services and primary income (BoP, current US$)"
,External balance on goods and services (% of GDP)
,External balance on goods and services (constant LCU)
,External balance on goods and services (current LCU)
,External balance on goods and services (current US$)
,"External debt stocks (% of exports of goods, services and primary income)"
,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
,Firms expected to give gifts in meetings with tax officials (% of firms)
,Firms that do not report all sales for tax purposes (% of firms)
,GNI growth (annual %)
,"Government expenditure per student, primary (% of GDP per capita)"
,"Grants, excluding technical cooperation (BoP, current US$)"
,Gross domestic income (constant LCU)
,"Gross foreign reserves in months of import
/Months of import cover"
,Gross savings (% of GDP)
,Gross savings (current LCU)
,Gross savings (current US$)
,High-technology exports (% of manufactured exports)
,High-technology exports (current US$)
,ICT goods exports (% of total goods exports)
,ICT goods imports (% total goods imports)
,IDA grants (current US$)
,Import duty
,Import Growth
,Import Price index
,"Imports of goods, services and primary income (BoP, current US$)"
,Income per capita
,Income share held by fourth 20%
,Income share held by highest 10%
,Increase in fish and fishproducts exports earnings byvalue (‘000 US$)
,Increase in Fish Exports(Tonnes/%)
,Increase in Local beefconsumption per capita (in Kgsp.a)
,Increase in local milkconsumption per capita(litres)
,Informal employment rate
,Informal payments to public officials (% of firms)
,"Interest payments on external debt (% of exports of goods, services and primary income)"
,Interest payments on external debt (% of GNI)
,Investor work permit ratio
,Labor tax and contributions (% of commercial profits)
clean water and sanitation,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
,Long term unemployment rate
industry innovation and infrastructure,Manufacturing employment as a proportion of total employment
,Merchandise trade (% of GDP)
,Net domestic credit (current LCU)
partnerships for the goals,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)"
