name,xPos,xposName,Match type,access,latest,owner,statisticalSector,questionnaire,geographicCoverage,sampleSize,disaggregationAge,disaggregationLocation,sourceType,url
Improve in incomedistribution (GINI Coefficient),2,Indicator,,,,,,,,,,,,
Increase in export proportion of GDP,2,Indicator,,,,,,,,,,,,
Increase in ratio of manufactured exports tototal exports,2,Indicator,,,,,,,,,,,,
"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2,Indicator,,,,,,,,,,,,
"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2,Indicator,,,,,,,,,,,,
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",2,Indicator,,,,,,,,,,,,
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,2,Indicator,,,,,,,,,,,,
"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",2,Indicator,,,,,,,,,,,,
Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,2,Indicator,,,,,,,,,,,,
Proportion of individuals using the Internet,2,Indicator,,,,,,,,,,,,
"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",2,Indicator,,,,,,,,,,,,
"Proportion of population covered by a mobile network, by technology",2,Indicator,,,,,,,,,,,,
"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",2,Indicator,,,,,,,,,,,,
Proportion of population with access to electricity,2,Indicator,,,,,,,,,,,,
Proportion of the agricultural population owning agricultural land by sex of owner.,2,Indicator,,,,,,,,,,,,
Proportion of the population owning land individually by sex of owner.,2,Indicator,,,,,,,,,,,,
"Proportion of youth (aged 15-24 years) not in education, employment or training",2,Indicator,,,,,,,,,,,,
"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",2,Indicator,,,,,,,,,,,,
Ratio of manufactured exportsto total exports,2,Indicator,,,,,,,,,,,,
Recruitment cost borne by employee as a proportion of yearly income earned in country of destination,2,Indicator,,,,,,,,,,,,
Remittance costs as a proportion of the amount remitted,2,Indicator,,,,,,,,,,,,
Research and development expenditure as a proportion of GDP,2,Indicator,,,,,,,,,,,,
Total value of inward and outward illicit financial flows (in current United States dollars),2,Indicator,,,,,,,,,,,,
Unit cost of power(USD Cents),2,Indicator,,,,,,,,,,,,
"Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)",2,Indicator,,,,,,,,,,,,
Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration,2,Indicator,,,,,,,,,,,,
 Managerial positions in the formal sector by sex.,2,Indicator,,,,,,,,,,,,
"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",2,Indicator,,,,,,,,,,,,
Access to electricity (% of population),2,Indicator,,,,,,,,,,,,
"Access to electricity, rural (% of rural population)",2,Indicator,,,,,,,,,,,,
"Access to electricity, urban (% of urban population)",2,Indicator,,,,,,,,,,,,
Account at a financial institution (% age 15+),2,Indicator,,,,,,,,,,,,
Adjusted net national income (annual % growth),2,Indicator,,,,,,,,,,,,
Adjusted savings: consumption of fixed capital (% of GNI),2,Indicator,,,,,,,,,,,,
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,2,Indicator,,,,,,,,,,,,
"Automated teller machines (ATMs) (per 100,000 adults)",2,Indicator,,,,,,,,,,,,
"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities",2,Indicator,,,,,,,,,,,,
Average size per production system,2,Indicator,,,,,,,,,,,,
Bank liquid reserves to bank assets ratio (%),2,Indicator,,,,,,,,,,,,
"Broad money
(M2)",2,Indicator,,,,,,,,,,,,
"Broad Money
(M3)",2,Indicator,,,,,,,,,,,,
Business extent of disclosure index (0=less disclosure to 10=more disclosure),2,Indicator,,,,,,,,,,,,
Change in the extent of water-related ecosystems over time,2,Indicator,,,,,,,,,,,,
Change in water-use efficiency over time,2,Indicator,,,,,,,,,,,,
Changes in inventories (constant LCU),2,Indicator,,,,,,,,,,,,
Changes in inventories (current LCU),2,Indicator,,,,,,,,,,,,
Changes in inventories (current US$),2,Indicator,,,,,,,,,,,,
"Children in employment, self-employed (% of children in employment, ages 7-14)",2,Indicator,,,,,,,,,,,,
"Children in employment, wage workers (% of children in employment, ages 7-14)",2,Indicator,,,,,,,,,,,,
CPIA business regulatory environment rating (1=low to 6=high),2,Indicator,,,,,,,,,,,,
CPIA efficiency of revenue mobilization rating (1=low to 6=high),2,Indicator,,,,,,,,,,,,
CPIA financial sector rating (1=low to 6=high),2,Indicator,,,,,,,,,,,,
CPIA structural policies cluster average (1=low to 6=high),2,Indicator,,,,,,,,,,,,
Degree of integrated water resources management implementation (0-100),2,Indicator,,,,,,,,,,,,
Deposit interest rate (%),2,Indicator,,,,,,,,,,,,
Electricity coverage,2,Indicator,,,,,,,,,,,,
Electricity production from hydroelectric sources (% of total),2,Indicator,,,,,,,,,,,,
Electricity production from natural gas sources (% of total),2,Indicator,,,,,,,,,,,,
Electricity production from nuclear sources (% of total),2,Indicator,,,,,,,,,,,,
Electricity production from oil sources (% of total),2,Indicator,,,,,,,,,,,,
Firms formally registered when operations started (% of firms),2,Indicator,,,,,,,,,,,,
Firms using banks to finance investment (% of firms),2,Indicator,,,,,,,,,,,,
Firms using banks to finance working capital (% of firms),2,Indicator,,,,,,,,,,,,
Fixed telephone subscriptions,2,Indicator,,,,,,,,,,,,
"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget",2,Indicator,,,,,,,,,,,,
Global Competitiveranking,2,Indicator,,,,,,,,,,,,
Gross Fixed Capital Formation by economic sector,2,Indicator,,,,,,,,,,,,
"Gross fixed capital formation, private sector (% of GDP)",2,Indicator,,,,,,,,,,,,
"Human Skills
Index",2,Indicator,,,,,,,,,,,,
"ICT service exports (% of service exports, BoP)",2,Indicator,,,,,,,,,,,,
Import duty and other taxesreduced by x % for 3 years for newinvestments,2,Indicator,,,,,,,,,,,,
Inactivity rate,2,Indicator,,,,,,,,,,,,
Increase in % of mobile linesubscriptions,2,Indicator,,,,,,,,,,,,
Increase in labour force in industrial sector.,2,Indicator,,,,,,,,,,,,
Increase in labour force in service sector.,2,Indicator,,,,,,,,,,,,
Increase in total employment.,2,Indicator,,,,,,,,,,,,
Increase inProportionof electricityconsumed byindustrial andcommercialsector,2,Indicator,,,,,,,,,,,,
Increased Proportion offunctional railway network,2,Indicator,,,,,,,,,,,,
Increased Ratio of nationalbudget allocated STI (R&D) andICT,2,Indicator,,,,,,,,,,,,
Individuals using the Internet (% of population),2,Indicator,,,,,,,,,,,,
International Outgoing mobile telephone traffic,2,Indicator,,,,,,,,,,,,
Internet penetration,2,Indicator,,,,,,,,,,,,
Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,2,Indicator,,,,,,,,,,,,
Labour cost index,2,Indicator,,,,,,,,,,,,
Labour force participation rate,2,Indicator,,,,,,,,,,,,
"Labour share of GDP, comprising wages and social protection transfers",2,Indicator,,,,,,,,,,,,
Literacy rate,2,Indicator,,,,,,,,,,,,
"Literacy rate, adult female (% of females ages 15 and above)",2,Indicator,,,,,,,,,,,,
Mobile cellular telephone subscriptions (post-paid + prepaid),2,Indicator,,,,,,,,,,,,
"Net financial
worth",2,Indicator,,,,,,,,,,,,
Net lending as a percentage  of GDP,2,Indicator,,,,,,,,,,,,
Net Lending/ Repayments,2,Indicator,,,,,,,,,,,,
"Net lending/
borrowing",2,Indicator,,,,,,,,,,,,
"New business density (new registrations per 1,000 people ages 15-64)",2,Indicator,,,,,,,,,,,,
"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",2,Indicator,,,,,,,,,,,,
Number of Domestic EMS(Emergency Mail Services),2,Indicator,,,,,,,,,,,,
Number of Domestic Registered mail,2,Indicator,,,,,,,,,,,,
Number of estimated Internet users,2,Indicator,,,,,,,,,,,,
Number of fixed internet subscribers,2,Indicator,,,,,,,,,,,,
Number of Fixed telephone lines,2,Indicator,,,,,,,,,,,,
Number of land transactions registered,2,Indicator,,,,,,,,,,,,
Number of mobile internet subscribers,2,Indicator,,,,,,,,,,,,
Number of Ordinary Letter Posts,2,Indicator,,,,,,,,,,,,
Number of units connected to the electricity grid,2,Indicator,,,,,,,,,,,,
"Off net
Telephone traffic
(minutes)",2,Indicator,,,,,,,,,,,,
On net mobile telephone traffic (minutes),2,Indicator,,,,,,,,,,,,
Other taxes payable by businesses (% of commercial profits),2,Indicator,,,,,,,,,,,,
"Passenger and freight volumes, by mode of transport",2,Indicator,,,,,,,,,,,,
Percentage of land surveyed and registered,2,Indicator,,,,,,,,,,,,
Private sector credit (annual growth),2,Indicator,,,,,,,,,,,,
Private sector credit as a percentage of GDP,2,Indicator,,,,,,,,,,,,
Procedures to register property (number),2,Indicator,,,,,,,,,,,,
Profit tax (% of commercial profits),2,Indicator,,,,,,,,,,,,
Proportion of businesses usingthe internet(%),2,Indicator,,,,,,,,,,,,
Proportion of domestic budget funded by domestic taxes,2,Indicator,,,,,,,,,,,,
Proportion of holdings with access to credit,2,Indicator,,,,,,,,,,,,
"Proportion of individuals who own a mobile telephone, by sex",2,Indicator,,,,,,,,,,,,
"Proportion of own-account
and contributing family workers in total employment",2,Indicator,,,,,,,,,,,,
Proportion of paved to thenational road network (%),2,Indicator,,,,,,,,,,,,
"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)",2,Indicator,,,,,,,,,,,,
"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",2,Indicator,,,,,,,,,,,,
Proportion of small-scale industries with a loan or line of credit,2,Indicator,,,,,,,,,,,,
Proportion of the population owning land,2,Indicator,,,,,,,,,,,,
Proportion of the urban population with secure land tenure.,2,Indicator,,,,,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, by sex, age and location",2,Indicator,,,,,,,,,,,,
"Proportion of total adult population with secure tenure rights to land, with legally recognized documentation and who perceive their rights to land as secure, by sex and by type of tenure",2,Indicator,,,,,,,,,,,,
"Proportion of total government spending on essential services (education, health and social protection)",2,Indicator,,,,,,,,,,,,
Proportion of transboundary basin area with an operational arrangement for water cooperation,2,Indicator,,,,,,,,,,,,
Proportion of women in managerial positions,2,Indicator,,,,,,,,,,,,
Rental Income tax,2,Indicator,,,,,,,,,,,,
"Revenue, excluding grants (% of GDP)",2,Indicator,,,,,,,,,,,,
Secure Internet servers,2,Indicator,,,,,,,,,,,,
Tax payments (number),2,Indicator,,,,,,,,,,,,
"Taxable and
Non-tax revenue generated from land transactions",2,Indicator,,,,,,,,,,,,
Time required to register property (days),2,Indicator,,,,,,,,,,,,
Time required to start a business (days),2,Indicator,,,,,,,,,,,,
Time taken to register a transaction,2,Indicator,,,,,,,,,,,,
Total electricity consumed,2,Indicator,,,,,,,,,,,,
Total Electricity generated,2,Indicator,,,,,,,,,,,,
Total Number of business establishments by economic sector,2,Indicator,,,,,,,,,,,,
Total paved national roadnetwork (km),2,Indicator,,,,,,,,,,,,
Unemployment rate,2,Indicator,,,,,,,,,,,,
"Unemployment rate, by sex, age and persons with disabilities",2,Indicator,,,,,,,,,,,,
"Vulnerable employment, female (% of female employment)",2,Indicator,,,,,,,,,,,,
"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",2,Indicator,,,,,,,,,,,,
x % tax reduction for 3 yearsto new investments,2,Indicator,,,,,,,,,,,,
Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,2,Indicator,,,,,,,,,,,,
 Average time taken to & fro the firewood supply point by sex of household head (mins).,2,Indicator,,,,,,,,,,,,
 Percentage of the population with primary reliance on non-solid fuels by sex of household head.,2,Indicator,,,,,,,,,,,,
 Primary (P7) Completion rate by sex,2,Indicator,,,,,,,,,,,,
 S4 Completion rate by sex,2,Indicator,,,,,,,,,,,,
 Youth unemployment rate by sex.,2,Indicator,,,,,,,,,,,,
Average household agricultural income by sex of head ,2,Indicator,,,,,,,,,,,,
Increase in Household latrinecoverage (%),2,Indicator,,,,,,,,,,,,
"Proportion of population living below the national poverty line, by sex and age",2,Indicator,,,,,,,,,,,,
Proportion of population living in households with access to basic services,2,Indicator,,,,,,,,,,,,
Proportion of population with large household expenditures on health as a share of total household expenditure or income,2,Indicator,,,,,,,,,,,,
"Proportion of urban population living in slums, informal settlements or inadequate housing",2,Indicator,,,,,,,,,,,,
Rural safe water coverage (%),2,Indicator,,,,,,,,,,,,
Urban safe water Coverage(%),2,Indicator,,,,,,,,,,,,
Volume of remittances (in United States dollars) as a proportion of total GDP,2,Indicator,,,,,,,,,,,,
Annual growth rate of real GDP per capita,2,Indicator,,,,,,,,,,,,
Annual growth rate of real GDP per employed person,2,Indicator,,,,,,,,,,,,
Cooperative membership,2,Indicator,,,,,,,,,,,,
CPIA fiscal policy rating (1=low to 6=high),2,Indicator,,,,,,,,,,,,
CPIA macroeconomic management rating (1=low to 6=high),2,Indicator,,,,,,,,,,,,
Direct economic loss attributed to disasters in relation to global gross domestic product (GDP),2,Indicator,,,,,,,,,,,,
Education attainment,2,Indicator,,,,,,,,,,,,
"Employment · to·
population ratio.",2,Indicator,,,,,,,,,,,,
Energy intensity measured in terms of primary energy and GDP,2,Indicator,,,,,,,,,,,,
Exports,2,Indicator,,,,,,,,,,,,
Freight cargo by rail,2,Indicator,,,,,,,,,,,,
GDP growth rate,2,Indicator,,,,,,,,,,,,
"Goods exports (BoP, current US$)",2,Indicator,,,,,,,,,,,,
"Goods imports (BoP, current US$)",2,Indicator,,,,,,,,,,,,
Imports,2,Indicator,,,,,,,,,,,,
Increase in GDP growth rate.,2,Indicator,,,,,,,,,,,,
Increase in Proportion of freightcargo by rail,2,Indicator,,,,,,,,,,,,
Increase in volume of cargotransported by railway (milliontonnes),2,Indicator,,,,,,,,,,,,
Increase inVolume ofinternational aircargo traffic,2,Indicator,,,,,,,,,,,,
"International air
cargo traffic",2,Indicator,,,,,,,,,,,,
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2,Indicator,,,,,,,,,,,,
"Literacy rate, youth female (% of females ages 15-24)",2,Indicator,,,,,,,,,,,,
Merchandise exports (current US$),2,Indicator,,,,,,,,,,,,
Merchandise exports by the reporting economy (current US$),2,Indicator,,,,,,,,,,,,
Merchandise imports (current US$),2,Indicator,,,,,,,,,,,,
Merchandise imports by the reporting economy (current US$),2,Indicator,,,,,,,,,,,,
Net foreign assets (current LCU),2,Indicator,,,,,,,,,,,,
Number of certificate of titles processed,2,Indicator,,,,,,,,,,,,
"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",2,Indicator,,,,,,,,,,,,
Overall fiscal balance (excl. Grants) as a percentage of GDP,2,Indicator,,,,,,,,,,,,
Overall fiscal balance (incl. Grants) as a percentage of GDP,2,Indicator,,,,,,,,,,,,
Partner Trade share,2,Indicator,,,,,,,,,,,,
Per Capita GDP,2,Indicator,,,,,,,,,,,,
Population change,2,Indicator,,,,,,,,,,,,
Population density,2,Indicator,,,,,,,,,,,,
Population doubling time,2,Indicator,,,,,,,,,,,,
Population Growth rate,2,Indicator,,,,,,,,,,,,
Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,2,Indicator,,,,,,,,,,,,
Proportion of freight cargo by rail to total freight.,2,Indicator,,,,,,,,,,,,
Proportion of people living in Urban areas (%),2,Indicator,,,,,,,,,,,,
"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city",2,Indicator,,,,,,,,,,,,
"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics",2,Indicator,,,,,,,,,,,,
Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,2,Indicator,,,,,,,,,,,,
Re-exports,2,Indicator,,,,,,,,,,,,
Re-imports,2,Indicator,,,,,,,,,,,,
Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP,2,Indicator,,,,,,,,,,,,
The median age of a population,2,Indicator,,,,,,,,,,,,
"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",2,Indicator,,,,,,,,,,,,
Total Population,2,Indicator,,,,,,,,,,,,
"Total Projected
Population",2,Indicator,,,,,,,,,,,,
Total trade,2,Indicator,,,,,,,,,,,,
Urban population,2,Indicator,,,,,,,,,,,,
Urbanisation Rate,2,Indicator,,,,,,,,,,,,
 Average time taken to the health facility by sex (mins).,2,Indicator,,,,,,,,,,,,
 Average waiting time at the health facility by sex (mins).,2,Indicator,,,,,,,,,,,,
" Maternal deaths per 100,000 live births (MMR)",2,Indicator,,,,,,,,,,,,
Adjusted savings: carbon dioxide damage (% of GNI),2,Indicator,,,,,,,,,,,,
"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2,Indicator,,,,,,,,,,,,
"Adolescent birth
Rate",2,Indicator,,,,,,,,,,,,
"Average income of small-scale food producers, by sex and indigenous status",2,Indicator,,,,,,,,,,,,
Births attended by skilled healthpersonnel (%) - UDHS,2,Indicator,,,,,,,,,,,,
"Cause of death, by injury (% of total)",2,Indicator,,,,,,,,,,,,
Completeness of death registration with cause-of-death information (%),2,Indicator,,,,,,,,,,,,
Crude Death Rate,2,Indicator,,,,,,,,,,,,
Death rate due to road traffic injuries,2,Indicator,,,,,,,,,,,,
"Decrease in Maternal MortalityRatio (per 100,000 live births)",2,Indicator,,,,,,,,,,,,
Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,2,Indicator,,,,,,,,,,,,
"Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status",2,Indicator,,,,,,,,,,,,
Household latrine coverage (%),2,Indicator,,,,,,,,,,,,
Increase in Proportion ofhouseholds accessing powerfrom national grid,2,Indicator,,,,,,,,,,,,
"Life expectancy at birth, female (years)",2,Indicator,,,,,,,,,,,,
"Mortality caused by road traffic injury (per 100,000 people)",2,Indicator,,,,,,,,,,,,
National Identification Coverage,2,Indicator,,,,,,,,,,,,
Number of deaths ages 5-14 years,2,Indicator,,,,,,,,,,,,
"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",2,Indicator,,,,,,,,,,,,
Number of Occupation Permits Issued,2,Indicator,,,,,,,,,,,,
Population in largest city,2,Indicator,,,,,,,,,,,,
Population in the largest city (% of urban population),2,Indicator,,,,,,,,,,,,
Proportion of births attended by skilled health personnel,2,Indicator,,,,,,,,,,,,
"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",2,Indicator,,,,,,,,,,,,
"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex",2,Indicator,,,,,,,,,,,,
"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",2,Indicator,,,,,,,,,,,,
Proportion of households witha TV (%),2,Indicator,,,,,,,,,,,,
"Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",2,Indicator,,,,,,,,,,,,
Ratio of doctors to population by sex and location,2,Indicator,,,,,,,,,,,,
Ratio of nurses to population by sex and location,2,Indicator,,,,,,,,,,,,
Recovery of surface coveragefor large water bodies in the country,2,Indicator,,,,,,,,,,,,
Sex Ratio at Birth,2,Indicator,,,,,,,,,,,,
"Under Five Mortality Rate (per 1,000live births)",2,Indicator,,,,,,,,,,,,
 Prevalence of stunting in children under 5 years of age by sex,2,Indicator,,,,,,,,,,,,
 Prevalence of under-weight children under 5 years of age by sex,2,Indicator,,,,,,,,,,,,
 Prevalence of wasting in children under 5 years of age by sex,2,Indicator,,,,,,,,,,,,
 Proportion of children aged 5 – 17 years engaged in child labour by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of the population (aged 15-19 and 20-24) who were subjected to sexual violence before age 15 by sex.,2,Indicator,,,,,,,,,,,,
Existence of independent national human rights institutions in compliance with the Paris Principles,2,Indicator,,,,,,,,,,,,
"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",2,Indicator,,,,,,,,,,,,
"Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",2,Indicator,,,,,,,,,,,,
Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,2,Indicator,,,,,,,,,,,,
Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,2,Indicator,,,,,,,,,,,,
"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",2,Indicator,,,,,,,,,,,,
Proportion of young women and men aged 18?29 years who experienced sexual violence by age 18,2,Indicator,,,,,,,,,,,,
 Gender parity index in enrolment,2,Indicator,,,,,,,,,,,,
 Percentage of the population aged 20-24 who were married or in a union before age 18 (i.e. child marriage) by sex. ,2,Indicator,,,,,,,,,,,,
 Percentage of the working age population employed by sex.,2,Indicator,,,,,,,,,,,,
 Uganda Gender Development Index. ,2,Indicator,,,,,,,,,,,,
 Uganda Gender Gap Index.,2,Indicator,,,,,,,,,,,,
Air traffic volumes,2,Indicator,,,,,,,,,,,,
"Air transport, freight (million ton-km)",2,Indicator,,,,,,,,,,,,
"Air transport, passengers carried",2,Indicator,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",2,Indicator,,,,,,,,,,,,
Crime rate,2,Indicator,,,,,,,,,,,,
"Crude  Marriage
Rate",2,Indicator,,,,,,,,,,,,
"Gender Parity
Index",2,Indicator,,,,,,,,,,,,
"General Marriage
Rate",2,Indicator,,,,,,,,,,,,
Improved GlobalGender Gap Index,2,Indicator,,,,,,,,,,,,
Increase in Proportion ofpassenger traffic by rail,2,Indicator,,,,,,,,,,,,
Increase in Volume ofinternational air passengertraffic,2,Indicator,,,,,,,,,,,,
"International air
passenger traffic",2,Indicator,,,,,,,,,,,,
"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",2,Indicator,,,,,,,,,,,,
"Passenger air
traffic",2,Indicator,,,,,,,,,,,,
"Population, female",2,Indicator,,,,,,,,,,,,
"Population, female (% of total)",2,Indicator,,,,,,,,,,,,
"Population, male",2,Indicator,,,,,,,,,,,,
"Population, male (% of total)",2,Indicator,,,,,,,,,,,,
"Population, total",2,Indicator,,,,,,,,,,,,
Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,2,Indicator,,,,,,,,,,,,
"Railways, passengers carried (million passenger-km)",2,Indicator,,,,,,,,,,,,
Singulate Mean Age at Marriage (SMAM),2,Indicator,,,,,,,,,,,,
" Proportion of Medical officers, clinical officers and allied and dental practitioners by sex.",2,Indicator,,,,,,,,,,,,
 Average waiting time at the water (safe) supply point by sex of head (mins).,2,Indicator,,,,,,,,,,,,
 Gross Primary School enrolment rate by sex,2,Indicator,,,,,,,,,,,,
 Gross Secondary School enrolment rate by sex.,2,Indicator,,,,,,,,,,,,
 Net Primary School enrolment rate by sex ,2,Indicator,,,,,,,,,,,,
 Net Secondary School enrolment rate by sex,2,Indicator,,,,,,,,,,,,
 Percentage of schools with separate stances for females and males.,2,Indicator,,,,,,,,,,,,
 Proportion of science graduate teachers by sex,2,Indicator,,,,,,,,,,,,
 Proportion of the population living within a radius of 5km of a health facility.,2,Indicator,,,,,,,,,,,,
 Proportion of women owning agricultural land,2,Indicator,,,,,,,,,,,,
"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",2,Indicator,,,,,,,,,,,,
Access to safe drinking water,2,Indicator,,,,,,,,,,,,
"Access to
safe (hygienic)
sanitation facility",2,Indicator,,,,,,,,,,,,
